source,target,weight
Rubing Huang,Deng Chen,2
Rubing Huang,Yansheng Lu,6
Rubing Huang,Rongcun Wang,3
Rubing Huang,Xiaodong Xie,2
Tsong Yueh Chen,Yunan Zhou,5
Tsong Yueh Chen,Weifeng Sun,2
Tsong Yueh Chen,Weiwen Zong,3
Tsong Yueh Chen,Xiaodong Xie,2
Tsong Yueh Chen,Yansheng Lu,2
Yunan Zhou,Weifeng Sun,2
Yunan Zhou,Weiwen Zong,4
Shiyong Shuang,Yanliang Zhang,2
Bing He,Qingwei Lin,2
Qingwei Lin,Bo Qiao,2
Qingwei Lin,Dongmei Zhang,2
Bo Qiao,Dongmei Zhang,2
Andrea Fornaia,Emiliano Tramontana,3
Justyna Petke,Mark Harman,4
Justyna Petke,Yue Jia,2
Justyna Petke,Marco Radavelli,2
Justyna Petke,Myra B. Cohen,3
Justyna Petke,Shin Yoo,2
Mark Harman,Yue Jia,4
Mark Harman,Myra B. Cohen,4
Mark Harman,Shin Yoo,2
David Adamo,Renée C. Bryce,3
David Adamo,Shraddha Piparia,2
Renée C. Bryce,Shraddha Piparia,3
Renée C. Bryce,Ryan Michaels,2
Renée C. Bryce,Dmitry Nurmuradov,2
Renée C. Bryce,Sreedevi Sampath,5
Renée C. Bryce,Schuyler Manchester,2
Renée C. Bryce,Atif M. Memon,2
Shraddha Piparia,Dmitry Nurmuradov,2
Bestoun S. Ahmed,Cleber R. Rosa Junior,2
Bestoun S. Ahmed,Miroslav Bures,6
Bestoun S. Ahmed,AbdulRahman A. Alsewari,2
Bestoun S. Ahmed,Fakhrud Din,3
Bestoun S. Ahmed,Luca M. Gambardella,2
Bestoun S. Ahmed,Moayad Y. Potrus,2
Weifeng Sun,Weiwen Zong,2
Eun-Hye Choi,Osamu Mizuno,5
Eun-Hye Choi,Akihisa Yamada,5
Eun-Hye Choi,Cyrille Artho,7
Eun-Hye Choi,Armin Biere,2
Eun-Hye Choi,Yutaka Oiwa,4
Hareton Leung,Nie Changhai,2
Hareton Leung,Fei-Ching Kuo,3
Hareton Leung,Kai-Yuan Cai,2
Zhiqiang Zhang,Feifei Ma,2
Zhiqiang Zhang,Yong Zhao,2
Cyrille Artho,Akihisa Yamada,5
Cyrille Artho,Osamu Mizuno,2
Cyrille Artho,Armin Biere,2
Cyrille Artho,Yutaka Oiwa,4
Cleber R. Rosa Junior,Miroslav Bures,2
Idelfonso Izquierdo-Marquez,Aldo Gonzalez-Gomez,2
Feng Duan,Josip Bozic,3
Feng Duan,Linbin Yu,4
Brett Stevens,Daniel Panario,5
Brett Stevens,Lucia Moura,9
Brett Stevens,Sebastian Raaphorst,3
Brett Stevens,Georgios Tzanakis,2
Brett Stevens,Peter Danziger,2
Brett Stevens,Eric Mendelsohn,2
Brett Stevens,Conrado Martínez,2
Daniel Panario,Lucia Moura,5
Daniel Panario,Georgios Tzanakis,2
Daniel Panario,Conrado Martínez,2
Lucia Moura,Sebastian Raaphorst,3
Lucia Moura,Elizabeth Maltais,2
Lucia Moura,Georgios Tzanakis,2
Lucia Moura,Conrado Martínez,2
Akihisa Yamada,Armin Biere,2
Akihisa Yamada,Yutaka Oiwa,3
Darryl C. Jarman,Riley Smith,2
Carlos Cobos,Martha Mendoza,3
Annalisa De Bonis,Kaushik Sarkar,2
Annalisa De Bonis,Ugo Vaccaro,2
Kaushik Sarkar,Ugo Vaccaro,2
Ugur Koc,Adam Porter,2
Guanqiu Qi,Jie Luo,3
Guanqiu Qi,Wei-Tek Tsai,8
Guanqiu Qi,Wenjun Wu,2
Jie Luo,Wei-Tek Tsai,3
Wei-Tek Tsai,Wenjun Wu,2
Wei-Tek Tsai,Qingyang Li,2
Wei-Tek Tsai,Xiaoying Bai,2
Benoit Baudry,Gilles Perrouin,3
Benoit Baudry,Mathieu Acher,2
Benoit Baudry,Arnaud Gotlieb,3
Benoit Baudry,Aymeric Hervieu,3
Benoit Baudry,Jacques Klein,2
Benoit Baudry,Sagar Sen,4
Benoit Baudry,Ajay Kattepur,2
Benoit Baudry,Albert Benveniste,2
Benoit Baudry,Claude Jard,2
Gilles Perrouin,Christopher Henard,3
Gilles Perrouin,Jacques Klein,5
Gilles Perrouin,Mike Papadakis,3
Gilles Perrouin,Sagar Sen,2
Dong Li,Ruizhi Gao,2
Sagar Sen,Stefano Di Alesio,2
Sagar Sen,Dusica Marijan,3
Sagar Sen,Jacques Klein,2
Sagar Sen,Ajay Kattepur,2
Sagar Sen,Albert Benveniste,2
Sagar Sen,Claude Jard,2
Khandakar F. Rabbi,Che Y. Yaakub,3
Khandakar F. Rabbi,Mohammad F.J. Klaib,3
Khandakar F. Rabbi,Sabira Khatun,3
Linbin Yu,Mehra N. Borazjany,2
Hideharu Kojima,Hiroyuki Nakagawa,3
Hideharu Kojima,Satoshi Fujimoto,2
Anna Zamansky,Maria Spichkova,2
James Lawrence,Sreedevi Sampath,2
James Lawrence,Wenhua Wang,2
James Lawrence,Michael Forbes,2
James Lawrence,Vadim Okun,2
Sreedevi Sampath,Wenhua Wang,3
Sreedevi Sampath,Schuyler Manchester,2
Gunter Saake,Jens Meinicke,3
Gunter Saake,Mustafa Al-Hajjaji,3
Gunter Saake,Thomas Thum,4
Jens Meinicke,Mustafa Al-Hajjaji,2
Jens Meinicke,Thomas Thum,3
Mustafa Al-Hajjaji,Thomas Thum,3
Alexander Egyed,Rudolf Ramler,2
